,count,title,composer,event,specification,grade,average std dev above mean,average uil score,average score above expected
931-3-29307,2,Follow the River,Wheeler,Mixed Chorus,(SATB) (a cappella),3,0.022701879210192955,1.5,-0.1806215316315205
931-2-35301,2,Canticum Novum,Beck,Mixed Chorus,(3 part mixed) (accomp),2,0.07476366715748672,2.335,-1.0548861003125607
935-5-27996,2,Kadrilaulud,Tormis,Treble Chorus,(SSAA divisi) (sing all) (a cappella),5,-0.2393486991434377,1.33,0.11325452016689841
935-6-23218,2,Fragments from the Mass,Diemer,Treble Chorus,(sing all) (a cappella),6,-0.5321189625304916,1.0,0.618095890410959
931-4-21477,2,Gott B'Hute Dich,Lechner,Mixed Chorus,(German) (a cappella),4,-0.5214299391289685,1.665,-0.0664694011122321
931-5-21872,2,Hirtenchor (from Rosamunde),Schubert,Mixed Chorus,(German) (piano & b-flat clarinet) (accomp),5,-0.514434554479392,1.0,0.6475891706059305
931-5-27672,2,Cantate Domino,Rutter,Mixed Chorus,(SATB divisi) (a cappella),5,-0.2898869319959778,1.5,-0.09295574288724961
931-3-21241,2,Sound Forth The Trumpet In Zion,Morley,Mixed Chorus,(SAB) (a cappella),3,0.022701879210192955,1.665,-0.34562153163152054
931-2-21096,2,Eldorado,Adams,Mixed Chorus,(accomp),2,-0.2898869319959778,1.33,0.07704425711275031
935-3-33210,2,Gloria Deo!,Johnson,Treble Chorus,(SSA) (accomp),3,0.022701879210192955,1.165,0.15437846836847946
931-1-20995,2,There Is a Lady,Purcell,Mixed Chorus,(a cappella),1,-0.2898869319959778,2.33,-0.9229557428872497
931-5-21680,2,Bitter for Sweet,Chorbajian,Mixed Chorus,(SATB divisi) (a cappella),5,-0.2898869319959778,1.165,0.24204425711275035
935-1-22600,2,Jubilate Deo,Spevacek,Treble Chorus,(2 part) (accomp),1,0.022701879210192955,1.665,-0.34562153163152054
933-4-22328,2,Who Are the Brave,Martin,Tenor-Bass Chorus,(TTB) (accomp),4,0.022701879210192955,1.33,-0.010621531631520575
933-3-22163,2,"Lord, In the Morning",Drummond,Tenor-Bass Chorus,(TBB) (a cappella),3,0.022701879210192955,1.0,0.3193784683684795
931-4-21506,2,Go and Tell John,Pfautsch,Mixed Chorus,(SSATB) (a cappella),4,0.022701879210192955,1.0,0.3193784683684795
931-3-34486,2,October,Baas,Mixed Chorus,(accomp),3,0.022701879210192955,1.5,-0.1806215316315205
931-3-34490,2,"Roll, Jordan, Roll",Gray,Mixed Chorus,(accomp),3,0.022701879210192955,1.0,0.3193784683684795
933-5-22406,2,Grandfather's Clock,Anon. or Trad.,Tenor-Bass Chorus,(baritone solo) (a cappella),5,-0.2898869319959778,1.335,0.07204425711275042
935-1-22518,2,Die Zufriedenheit (Happiness),Mozart,Treble Chorus,(German or English) (unison) (sing verses 1 & 2)  (keyboard) (accomp),1,-0.5030759786819212,1.835,-0.2609034267986886
931-4-35341,2,When I Hear Music,Martin,Mixed Chorus,(SATB) (accomp),4,0.022701879210192955,1.0,0.3193784683684795
935-4-27944,2,"O Come, Let Us Sing",Hovland,Treble Chorus,(SSAA) (a cappella),4,-0.514434554479392,1.5,0.14758917060593046
933-5-22429,2,My Love She Mourneth,Anon. or Trad.,Tenor-Bass Chorus,(TBB) (a cappella),5,-0.514434554479392,2.0,-0.35241082939406954
931-5-27634,2,Qui Sedes,Fritschel,Mixed Chorus,(SSAATTBB) (a cappella),5,-0.30769367787551927,1.0,0.4181417820485246
935-4-23058,2,"Measure Me, Sky",Mulholland,Treble Chorus,(accomp),4,0.022701879210192955,1.335,-0.015621531631520469
933-5-33292,2,La Tarara,Traditional Spanish,Tenor-Bass Chorus,(TTBB) (a cappella),5,-0.26461781556970765,1.165,0.2601493886398244
931-6-27696,2,Beatus Vir,Monteverdi,Mixed Chorus,(SSATTB) (vln & continuo) (accomp),6,-0.47403299483335104,2.165,-0.6349027440083364
931-5-31835,2,Lullaby,Elder,Mixed Chorus,(accomp),5,-0.10832340996662237,1.0,0.381316494267689
931-5-21621,2,A ce Joli Mois,Jannequin,Mixed Chorus,(French) (a cappella),5,-0.2898869319959778,1.5,-0.09295574288724961
935-5-30447,2,"Exultate, Justi, in Domino",Hollanders,Treble Chorus,(SSAA) (accomp),5,-0.47403299483335104,1.0,0.5300972559916637
935-3-22739,2,Confitemini Domino,Constantini,Treble Chorus,(Latin) (a cappella),3,-0.45482317714071474,1.0,0.5648150757308912
931-5-21848,2,O Clap Your Hands,Mathias,Mixed Chorus,(SATB divisi) (keyboard) (accomp),5,-0.5582336609362759,1.835,-0.2243232484076434
933-4-22307,2,Si Iniquitates Observaveris,Wesley,Tenor-Bass Chorus,(Latin) (TBB) (a cappella),4,0.022701879210192955,1.0,0.3193784683684795
933-3-27768,2,Musica Dei,Lightfoot,Tenor-Bass Chorus,(TTB) (accomp),3,-0.514434554479392,1.0,0.6475891706059305
935-4-23011,2,The Christ-Child,Binkerd,Treble Chorus,(SA) (piano or harp) (accomp),4,-0.45482317714071474,1.67,-0.10518492426910875
935-5-23135,2,O Magnum Mysterium,Morales,Treble Chorus,(Latin) (a cappella),5,-0.30769367787551927,1.0,0.4181417820485246
931-5-27677,2,Gloria In Excelsis Deo (from Missa in G),Schubert,Mixed Chorus,"(sop, bass soli) (accomp)",5,0.022701879210192955,1.165,0.15437846836847946
931-6-21889,2,Jauchzet dem Herrn,Pachelbel,Mixed Chorus,(German) (double choir) (basso continuo opt) (a cappella),6,-0.5455483722397294,1.0,0.5955969049373617
935-3-27931,2,All Things Bright And Beautiful,Anon. or Trad.,Treble Chorus,"(piano, 4 hands, opt flutes) (accomp)",3,-0.5455483722397294,1.0,0.5955969049373617
931-2-36757,2,The Slender Moon,Gilpin,Mixed Chorus,(SATB) (accomp),2,0.022701879210192955,1.665,-0.34562153163152054
931-4-21434,2,A Rose Touched by the Sun's Warm Rays,Berger,Mixed Chorus,(English or German) (a cappella),4,-0.2393486991434377,2.165,-0.7217454798331016
935-1-22506,2,Two Roses,Bartok,Treble Chorus,(SA) (accomp),1,-0.5582336609362759,1.335,0.2756767515923566
935-2-35379,2,Adoramus Te,Johnson,Treble Chorus,(2 part) (accomp),2,0.022701879210192955,1.335,-0.015621531631520469
935-2-37925,2,Dies Irae,Jones,Treble Chorus,(accomp),2,-0.09933748432514022,1.165,0.1700443189953489
935-5-23194,2,A Good and Patient Shepherd (Surrexit Pastor Bonus),Mendelssohn,Treble Chorus,(Latin) (SSAA w/ soli or small ensemble) (accomp),5,-0.3255004237550607,1.5,-0.0707606930157012
933-2-35245,2,Green Grow the Rashes,Winebrenner,Tenor-Bass Chorus,(TB(B)) (opt oboe) (accomp),2,0.022701879210192955,1.835,-0.5156215316315205
931-4-21527,2,"Say, Wanton, Will You Love Me?",Weelkes,Mixed Chorus,(SAB) (a cappella),4,0.022701879210192955,1.0,0.3193784683684795
931-5-32028,2,Alleluia,Thompson,Mixed Chorus,(SATB) (a cappella),5,-0.151399272272434,1.335,0.03930888767638918
935-5-23203,2,Laughing Song,Pfautsch,Treble Chorus,(flute) (accomp),5,0.022701879210192955,1.0,0.3193784683684795
933-4-27783,2,Buffalo Gals,Anon. or Trad.,Tenor-Bass Chorus,(TTB) (accomp),4,-0.3255004237550607,1.835,-0.40576069301570117
931-4-30320,2,Dindirin,Gray,Mixed Chorus,(SATB) (a cappella),4,-0.3255004237550607,1.0,0.4292393069842988
935-2-27873,2,A Bunch Of Thyme,Anon. or Trad.,Treble Chorus,"(SSA, sop solo) (accomp)",2,-0.3255004237550607,1.165,0.26423930698429876
935-5-30451,2,Vivos Voco,Szymko,Treble Chorus,(SSSAAA) (accomp),5,-0.3255004237550607,1.0,0.4292393069842988
931-5-29383,2,Suita scurta (Short Suite),Pascanu,Mixed Chorus,(SATB) (2nd mvt only) (a cappella),5,-0.3255004237550607,1.67,-0.24076069301570113
933-2-22019,2,Now Thank We All Our God,Anon. or Trad.,Tenor-Bass Chorus,(TBB) (accomp),2,-0.3255004237550607,2.835,-1.4057606930157012
935-1-22530,2,Will You Still Love Me?,DeWitt,Treble Chorus,(SA) (a cappella),1,0.022701879210192955,1.0,0.3193784683684795
933-3-22153,2,"Hey, Ho! The Wind and the Rain",Anon. or Trad.,Tenor-Bass Chorus,(TTBB) (opt solo) (accomp),3,-0.3255004237550607,1.165,0.26423930698429876
931-5-21742,2,Skip to My Lou,Mechem,Mixed Chorus,(SATB divisi) (accomp),5,-0.3255004237550607,1.335,0.09423930698429883
933-3-27766,2,Greensleeves,Anon. or Trad.,Tenor-Bass Chorus,(TBB) (a cappella),3,-0.3255004237550607,1.5,-0.0707606930157012
931-5-30811,2,I Carry Your Heart With Me,Dickau,Mixed Chorus,(SATB) (divisi) (accomp),5,0.022701879210192955,1.165,0.15437846836847946
931-2-33334,2,"Jubilate, Exsultate!",Wagner,Mixed Chorus,(SAB) (accomp),2,-0.10832340996662237,1.335,0.04631649426768902
935-3-33297,2,I Do Not Sleep,Brunner,Treble Chorus,(SSA) (accomp),3,0.022701879210192955,1.0,0.3193784683684795
933-3-34521,2,Goin Home,Dvorak,Tenor-Bass Chorus,(optional TTB) (accomp),3,0.022701879210192955,1.0,0.3193784683684795
931-5-29393,2,Exultate Deo,Hassler,Mixed Chorus,(SSATB) (a cappella),5,-0.2898869319959778,1.0,0.4070442571127504
931-4-31833,2,Your Voices Tune,Handel,Mixed Chorus,(accomp),4,-0.13359252639289254,1.0,0.36321136274061494
931-5-27632,2,Naiman Sharag,Enkhbayar,Mixed Chorus,(SATB divisi) (a cappella),5,-0.3255004237550607,1.165,0.26423930698429876
933-5-30390,2,A Red Red Rose,Barnum,Tenor-Bass Chorus,(TTBB) (a cappella),5,-0.3255004237550607,1.33,0.09923930698429873
931-3-21315,2,"God, We Praise You",Haydn,Mixed Chorus,(accomp),3,0.022701879210192955,1.0,0.3193784683684795
931-6-21911,2,"Domine, ad adjuvandum me festina (Lord, My God, Assist Me Now)",Martini,Mixed Chorus,"(Latin) (SATB soli) (keyboard, strings opt) (accomp)",6,0.022701879210192955,1.0,0.3193784683684795
935-3-29466,2,Wie Melodien Zieht Es Mir,Brahms,Treble Chorus,(2 part) (German) (accomp),3,-0.3255004237550607,1.165,0.26423930698429876
933-5-30382,2,Demon in My View,Horvath,Tenor-Bass Chorus,(TTBB div) (a cappella),5,-0.3255004237550607,1.0,0.4292393069842988
933-1-21955,2,Early One Morning,Anon. or Trad.,Tenor-Bass Chorus,(accomp),1,-0.3255004237550607,1.5,-0.0707606930157012
933-4-29544,2,Gute Nacht,Marschner,Tenor-Bass Chorus,(TTBB) (a cappella),4,0.022701879210192955,1.335,-0.015621531631520469
931-2-35291,2,Tu Es Petrus,Davison,Mixed Chorus,(SATB) (accomp),2,0.022701879210192955,1.335,-0.015621531631520469
931-5-21732,2,O Magnum Mysterium,Lauridsen,Mixed Chorus,(Latin) (SATB divisi) (a cappella),5,-0.3255004237550607,1.165,0.26423930698429876
